"","MayorID","FullName","LastName","FirstName","GenderMale","GenderFemale","RaceWhite","RaceBlack","RaceHispanic","RaceOther","PartyRepublican","PartyDemocrat","PartyNonPartisan","PartyOther","Ideology","IdeologySD","LastElectionDate","PercentVote","YearsCurrentPosition","CityManager","CouncilManager","MayorCouncil","Title","CityID","CityName","CityNameFull","CensusID","CensusID2","State","StateAB","Region","Division","StateFIPS","Population","Latitude","Longitude","CityAge","CityMale","CityFemale","CityWhite","CityBlack","CityHispanic","CityOwner","CityRenter","GovWebsite","FacebookPageName","FacebookPageID","FacebookLink","TwitterHandle","TwitterLink"
"1","1","Marty Handlon","Handlon","Marty",0,1,1,0,0,0,1,0,0,0,NA,NA,"8/23/2016",84,6,1,0,1,"Mayor","1","Alabaster","City of Alabaster","1600000US0100820","100820","Alabama","AL","3","6","1",30352,33.2144,-86.8231,35.6,49.3,50.7,79.4,13.5,9,85.1,14.9,"http://www.cityofalabaster.com/Directory.aspx?EID=5",NA,NA,NA,"martyhandlon","twitter.com/martyhandlon"
"2","2","Bill Ham Jr.","Ham Jr.","Bill",1,0,1,0,0,0,0,1,0,0,0.03190599,0.14432623,"8/26/2014",NA,20,1,1,0,"Mayor","2","Auburn","City of Auburn","1600000US0103076","103076","Alabama","AL","3","6","1",53380,32.6077,-85.4895,23.3,50.1,49.9,75.1,16.5,2.9,44.4,55.6,"https://www.auburnalabama.org/city-council/council-members/",NA,NA,NA,"mayorham","twitter.com/mayorham"
"3","3","Randall Woodfin","Woodfin","Randall",1,0,0,1,0,0,0,1,0,0,-0.3450113,0.08170522,"10/3/2017",58.95,2,0,0,1,"Mayor","3","Birmingham","City of Birmingham","1600000US0107000","107000","Alabama","AL","3","6","1",212237,33.5274,-86.799,35.4,46.8,53.2,22.3,73.4,3.6,49.3,50.7,"https://www.birminghamal.gov/about/mayors-office/","RandallWoodfinForBirminghamMayor","1755108814748271","facebook.com/RandallWoodfinForBirminghamMayor","woodfinforbham","twitter.com/woodfinforbham"
"4","4","Tab Bowling","Bowling","Tab",1,0,1,0,0,0,0,1,0,0,-0.008254,0.13534498,"10/4/2016",74,2,1,0,1,"Mayor","4","Decatur","City of Decatur","1600000US0120104","120104","Alabama","AL","3","6","1",55683,34.573,-86.9917,37.9,48.1,51.9,66.5,21.7,12.4,63.1,36.9,"https://www.decaturalabamausa.com/departments/office-of-the-mayor/",NA,NA,NA,"tabbowling","twitter.com/tabbowling"
"5","5","Mark Saliba","Saliba","Mark",1,0,1,0,0,0,NA,NA,NA,NA,0.3204169,0.11493778,"8/1/2017",87.07,2,1,1,0,"Mayor","5","Dothan","City of Dothan","1600000US0121184","121184","Alabama","AL","3","6","1",65496,31.2337,-85.4068,38,47.3,52.7,63.1,32.5,2.9,60.1,39.9,"http://www.dothan.org/index.aspx?NID=473","MayorMarkSaliba","1883172731925093","facebook.com/MayorMarkSaliba",NA,NA
"6","6","Steve Holt","Holt","Steve",1,0,1,0,0,0,1,0,0,0,0.17398695,0.14932387,"10/4/2016",54,2,0,0,1,"Mayor","6","Florence","City of Florence","1600000US0126896","126896","Alabama","AL","3","6","1",39319,34.8303,-87.6661,37.1,46.2,53.8,75,19.4,3.6,54.9,45.1,"http://www.florenceal.org/Administration/Mayor/index.html","SteveHoltFlorenceMayor","238674373158398","facebook.com/SteveHoltFlorenceMayor",NA,NA
"7","7","Sherman Guyton","Guyton","Sherman",1,0,1,0,0,0,0,1,0,0,0.26330087,0.13153221,"8/9/2010",NA,12,0,0,1,"Mayor","7","Gadsden","City of Gadsden","1600000US0128696","128696","Alabama","AL","3","6","1",36856,34.0096,-86.0156,39.3,47.5,52.5,57.3,36.3,5.4,60.1,39.9,"https://www.cityofgadsden.com/127/Mayors-Office","SupportShermanGuyton","110900688959003","facebook.com/SupportShermanGuyton","mayorguyton","twitter.com/MayorGuyton"
"8","8","Frank V. Brocato","Brocato","Frank V.",1,0,1,0,0,0,1,0,0,0,0.39133645,0.10842903,"11/8/2016",NA,2,0,0,1,"Mayor","8","Hoover","City of Hoover","1600000US0135896","135896","Alabama","AL","3","6","1",81619,33.3769,-86.8056,37,48.1,51.9,75.1,14.8,6,67.4,32.6,"http://www.hooveral.org/191/About-the-Mayor","HooverMayor","1430182247006859","facebook.com/HooverMayor","hoovermayor","twitter.com/hoovermayor"
"9","9","Tommy Battle","Battle","Tommy",1,0,1,0,0,0,1,0,0,0,0.1181748,0.07950977,"8/23/2016",80,10,0,0,1,"Mayor","9","Huntsville","City of Huntsville","1600000US0137000","137000","Alabama","AL","3","6","1",180105,34.7843,-86.539,36.5,48.6,51.4,60.3,31.2,5.8,58,42,"https://www.huntsvilleal.gov/government/mayors-office/","battleforalabama","53643134953","facebook.com/battleforalabama","tommybattle","twitter.com/TommyBattle"
"10","10","Paul Finley","Finley","Paul",1,0,1,0,0,0,1,0,0,0,0.40099811,0.1309048,"8/23/2016",62.3,10,0,NA,NA,"Mayor","10","Madison","City of Madison","1600000US0145784","145784","Alabama","AL","3","6","1",42938,34.7105,-86.7623,37,49.3,50.7,74,14.6,4.3,72.7,27.3,"https://www.madisonal.gov/172/Mayors-Office",NA,NA,NA,"finleyformayor","twitter.com/finleyformayor"
"11","11","William Stimpson","Stimpson","William 'Sandy' S.",1,0,1,0,0,0,1,0,0,0,-0.0239959,0.08898677,"8/22/2017",59,5,0,0,1,"Mayor","11","Mobile","City of Mobile","1600000US0150000","150000","Alabama","AL","3","6","1",195111,30.6684,-88.1002,35.7,47,53,45,50.6,2.4,56.4,43.6,"http://www.cityofmobile.org/cityofficials/mayor.php","SandyStimpsonMobile","427061714017683","facebook.com/SandyStimpsonMobile","mayorstimpson","twitter.com/mayorstimpson"
"12","12","Todd Strange","Strange","Todd",1,0,1,0,0,0,1,0,0,0,0.12320959,0.08481325,"8/25/2015",56,9,0,0,1,"Mayor","12","Montgomery","City of Montgomery","1600000US0151000","151000","Alabama","AL","3","6","1",205764,32.3463,-86.2686,34,47,53,37.3,56.6,3.9,58.9,41.1,"http://www.montgomeryal.gov/city-government/mayor-s-office/mayor-todd-strange",NA,NA,NA,"montgomerymayor","twitter.com/montgomerymayor"
"13","13","Eddie N. Lowe","Lowe","Eddie N.",1,0,0,1,0,0,0,1,0,0,0.10038437,0.15564,"8/23/2016",59,6,1,0,1,"Mayor","13","Phenix City","City of Phenix City","1600000US0159472","159472","Alabama","AL","3","6","1",32822,32.4617,-85.025,33.1,46.7,53.3,48.7,46.6,4,52,48,"https://phenixcityal.us/government/mayors-office/","MayorEddieLowe","940533899391333","facebook.com/MayorEddieLowe",NA,NA
"14","14","William W. Gillespie Jr.","Gillespie Jr.","William 'Bill' W.",1,0,1,0,0,0,0,1,0,0,NA,NA,"8/23/2016",92,14,0,0,1,"Mayor","14","Prattville","City of Prattville","1600000US0162328","162328","Alabama","AL","3","6","1",33960,32.4622,-86.4613,36.3,47.7,52.3,78.5,16.7,3.1,68.8,31.2,"http://www.prattvilleal.gov/mayor/mayors-biography.html",NA,NA,NA,"mayorbgjr","twitter.com/MayorBGJr"
"15","15","Walter Maddox","Maddox","Walter",1,0,1,0,0,0,0,1,0,0,-0.0839846,0.11720925,"3/7/2017",89,13,0,0,1,"Mayor","15","Tuscaloosa","City of Tuscaloosa","1600000US0177256","177256","Alabama","AL","3","6","1",90468,33.2331,-87.5258,25.4,48.1,51.9,53.8,41.5,3,42.3,57.7,"https://www.tuscaloosa.com/government/mayor","WaltMaddoxAL","195505080580205","facebook.com/WaltMaddoxAL","waltmaddox","twitter.com/waltmaddox"
