cycle,state,Candidateidentifier,raceid,Percentage.of.Vote.won.x,year,Republican,Democrat,experienced,pvi,Weightedexperience,Incumbent,GenericBallotSept,Percentage Raised
2018,Maine,2018MERingelstein,20181900,,2018,0,1,0,1.414830868,1,-1,55.1,2.023774593
2018,Connecticut,2018CTMurphy,20180700,,2018,0,1,1,4.933092737,4,1,55.1,99.7373874
2018,New York,2018NYGillibrand,20183200,,2018,0,1,1,9.796951795,4,1,55.1,96.00660286
2018,California,2018CAFeinstein,20180500,,2018,0,1,1,10.76322564,4,1,55.1,76.4319583
2018,California,2018CAde Leon,20180500,,2018,0,1,1,10.76322564,2,0,55.1,23.5680417
2018,Florida,2018FLNelson,20180900,,2018,0,1,1,-1.790610365,4,1,55.1,62.05308395
2018,Pennsylvania,2018PACasey,20183800,,2018,0,1,1,0.390350973,4,1,55.1,77.83085528
2018,Ohio,2018OHBrown,20183500,,2018,0,1,1,-4.171365879,4,1,55.1,93.42536174
2018,Michigan,2018MIStabenow,20182200,,2018,0,1,1,0.110617903,4,1,55.1,65.5491459
2018,Virginia,2018VAKaine,20184600,,2018,0,1,1,0.727101238,4,1,55.1,86.66982779
2018,New Jersey,2018NJMenendez,20183000,,2018,0,1,1,5.440680607,4,1,55.1,78.93730508
2018,Massachusetts,2018MAWarren,20182100,,2018,0,1,1,10.77644895,4,1,55.1,90.38962859
2018,Washington,2018WACantwell,20184700,,2018,0,1,1,4.727850992,4,1,55.1,93.06308
2018,Wisconsin,2018WIBaldwin,20184900,,2018,0,1,1,-1.482069759,4,1,55.1,89.57394691
2018,Missouri,2018MOMcCaskill,20182500,,2018,0,1,1,-6.881433406,4,1,55.1,79.75964916
2018,Maryland,2018MDCardin,20182000,,2018,0,1,1,15.13676878,4,1,55.1,98.48912814
2018,Indiana,2018INDonnelly,20181400,,2018,0,1,1,-8.112056678,4,1,55.1,77.53067346
2018,New Mexico,2018NMHeinrich,20183100,,2018,0,1,1,2.403798731,4,1,55.1,86.51265764
2018,West Virginia,2018WVManchin,20184800,,2018,0,1,1,-13.38955503,4,1,55.1,66.72114008
2018,Montana,2018MTTester,20182600,,2018,0,1,1,-8.652566712,4,1,55.1,84.19133956
2018,Hawaii,2018HIHirono,20181100,,2018,0,1,1,15.81999475,4,1,55.1,100
2018,Rhode Island,2018RIWhitehouse,20183900,,2018,0,1,1,8.381222974,4,1,55.1,82.99273824
2018,Delaware,2018DECarper,20180800,,2018,0,1,1,5.995207379,4,1,55.1,93.48554391
2018,Minnesota,2018MNKlobuchar,20182300,,2018,0,1,1,1.11430914,4,1,55.1,97.55971856
2018,North Dakota,2018NDHeitkamp,20183400,,2018,0,1,1,-15.10961444,4,1,55.1,75.92310927
2018,Vermont,2018VTSanders,20184500,,2018,0,1,1,11.29981845,4,1,55.1,99.92562556
2018,Maine,2018MEKing,20181900,,2018,0,1,1,1.414830868,4,1,55.1,85.63841043
2018,Wyoming,2018WYBarrasso,20185000,,2018,1,0,1,-20.207185,4,1,55.1,81.17619901
2018,Texas,2018TXCruz,20184300,,2018,1,0,1,-7.023984994,4,1,55.1,29.43982995
2018,Mississippi,2018MSWicker,20182400,,2018,1,0,1,-7.954178646,4,1,55.1,85.49330035
2018,Nevada,2018NVHeller,20182800,,2018,1,0,1,0.039999588,4,1,55.1,39.7810834
2018,Nebraska,2018NEFischer,20182700,,2018,1,0,1,-12.89253173,4,1,55.1,64.01884294
2018,Tennessee,2018TNBredesen,20184200,,2018,0,1,1,-14.12184488,4,0,55.1,45.11134676
2018,Arizona,2018AZSinema,20180300,,2018,0,1,1,-4.106799945,3,0,55.1,58.43456215
2018,Mississippi,2018MSEspy,20182402,,2018,0,1,1,-7.954178646,3,0,55.1,17.86792905
2018,Utah,2018UTWilson,20184400,,2018,0,1,1,-16.22280025,2,0,55.1,16.86683246
2018,Nebraska,2018NERaybould,20182700,,2018,0,1,1,-12.89253173,2,0,55.1,35.98115706
2018,Minnesota,2018MNSmith,20182302,,2018,0,1,1,1.11430914,3,0,55.1,72.87794744
2018,Minnesota,2018MNHousley,20182302,,2018,1,0,1,1.11430914,2,0,55.1,27.12205256
2018,Tennessee,2018TNBlackburn,20184200,,2018,1,0,1,-14.12184488,3,0,55.1,54.88865324
2018,Arizona,2018AZMcSally,20180300,,2018,1,0,1,-4.106799945,3,0,55.1,41.56543785
2018,Mississippi,2018MSHyde-Smith,20182402,,2018,1,0,1,-7.954178646,3,0,55.1,64.68356928
2018,Mississippi,2018MSMcDaniel,20182402,,2018,1,0,1,-7.954178646,2,0,55.1,17.44850167
2018,Utah,2018UTRomney,20184400,,2018,1,0,1,-16.22280025,4,0,55.1,83.13316754
2018,Wyoming,2018WYTrauner,20185000,,2018,0,1,0,-20.207185,1,-1,55.1,18.82380099
2018,Texas,2018TXO'Rourke,20184300,,2018,0,1,1,-7.023984994,3,-1,55.1,70.56017005
2018,Mississippi,2018MSBaria,20182400,,2018,0,1,1,-7.954178646,2,-1,55.1,14.50669965
2018,Nevada,2018NVRosen,20182800,,2018,0,1,1,0.039999588,3,-1,55.1,60.2189166
2018,New York,2018NYFarley,20183200,,2018,1,0,0,9.796951795,1,-1,55.1,3.993397139
2018,Florida,2018FLScott,20180900,,2018,1,0,1,-1.790610365,4,-1,55.1,37.94691605
2018,Pennsylvania,2018PABarletta,20183800,,2018,1,0,1,0.390350973,3,-1,55.1,22.16914472
2018,Ohio,2018OHRenacci,20183500,,2018,1,0,1,-4.171365879,3,-1,55.1,6.574638263
2018,Michigan,2018MIJames,20182200,,2018,1,0,0,0.110617903,1,-1,55.1,34.4508541
2018,Virginia,2018VAStewart,20184600,,2018,1,0,1,0.727101238,2,-1,55.1,13.33017221
2018,New Jersey,2018NJHugin,20183000,,2018,1,0,0,5.440680607,1,-1,55.1,21.06269492
2018,Massachusetts,2018MADiehl,20182100,,2018,1,0,1,10.77644895,2,-1,55.1,9.610371406
2018,Washington,2018WAHutchison,20184700,,2018,1,0,0,4.727850992,1,-1,55.1,6.936920004
2018,Wisconsin,2018WIVukmir,20184900,,2018,1,0,1,-1.482069759,2,-1,55.1,10.42605309
2018,Minnesota,2018MNNewberger,20182300,,2018,1,0,1,1.11430914,2,-1,55.1,2.440281443
2018,Missouri,2018MOHawley,20182500,,2018,1,0,1,-6.881433406,3,-1,55.1,20.24035084
2018,Maryland,2018MDCampbell,20182000,,2018,1,0,0,15.13676878,1,-1,55.1,1.51087186
