cycle,state,Candidateidentifier,RaceID,pollster,startdate,samplesize,Poll,Percentage.of.Vote.won.x,year,Republican,Democrat,experienced,pvi,GenericBallotSept,daysLeft,poll_period,numberSupport
1992,California,1992CAHerschensohn,19920502,KCAL-TV,10/27/92,700,40,43.00286776,1992,1,0,0,2.089508493,56.39124357,-7,1,280
1992,Illinois,1992ILWilliamson,19921302,Market Shares Corp.,10/17/92,1000,32,43.05715208,1992,1,0,0,2.845729828,56.39124357,-17,3,320
1992,Ohio,1992OHGlenn,19923502,Gordon S. Black Corp.,10/5/92,1023,55,50.88300143,1992,0,1,1,-1.573305433,56.39124357,-29,5,562
1992,North Carolina,1992NCFaircloth,19923302,Raleigh News & Observer,10/25/92,854,38,50.34704726,1992,1,0,0,-4.257897135,56.39124357,-9,2,324
1992,Missouri,1992MORothman-Serot,19922502,Hickman Analytics,8/29/92,800,41,44.9257195,1992,0,1,0,1.90181394,56.39124357,-66,7,328
1992,Arkansas,1992ARBumpers,19920402,Mason-Dixon Polling & Research Inc.,5/18/92,826,64,60.17719411,1992,0,1,1,-3.295385279,56.39124357,-169,9,528
1992,South Carolina,1992SCHartnett,19924002,Greenville News,10/19/92,800,33,46.94655713,1992,1,0,0,-8.172851311,56.39124357,-15,3,264
1992,Indiana,1992INHogsett,19921402,Mason-Dixon Polling & Research Inc.,9/6/92,806,28,40.70441426,1992,0,1,0,-6.224373724,56.39124357,-58,7,225
1992,Arizona,1992AZMecham,19920302,Behavior Research Center (Rocky Mountain),10/3/92,575,11,10.51777395,1992,0,0,0,-6.847567198,56.39124357,-31,5,63
1992,Connecticut,1992CTDodd,19920702,Quinnipiac University,10/20/92,630,52,58.81013574,1992,0,1,1,1.313478054,56.39124357,-14,3,327
1992,North Dakota,1992NDSydness,19923402,KTHI-TV,9/24/92,410,29,38.87457765,1992,1,0,0,-2.697757213,56.39124357,-40,5,118
1992,Washington,1992WAChandler,19924702,Evans/McDonough,10/10/92,601,40,46.00811609,1992,1,0,0,4.705227051,56.39124357,-24,4,240
1992,Pennsylvania,1992PASpecter,19923802,Mason-Dixon Polling & Research Inc.,6/14/92,800,50,49.10295039,1992,1,0,1,2.732595359,56.39124357,-142,9,400
1992,Florida,1992FLGrant,19920902,Mason-Dixon Polling & Research Inc.,12/5/91,813,19,34.59098521,1992,1,0,0,-7.351546057,56.39124357,-334,10,154
1992,Maryland,1992MDKeyes,19922002,Mason-Dixon Polling & Research Inc.,2/21/92,819,36,28.97745875,1992,1,0,0,2.43309313,56.39124357,-256,10,294
1992,Pennsylvania,1992PAYeakel,19923802,Hickman Analytics,10/4/92,600,47,46.33019671,1992,0,1,0,2.732595359,56.39124357,-30,5,282
1992,Arizona,1992AZSargent,19920302,Public Opinion Strategies,9/29/92,600,27,31.57054262,1992,0,1,0,-6.847567198,56.39124357,-35,5,162
1992,California,1992CASeymour,19920500,Los Angeles Times,9/10/92,1330,37,37.96344771,1992,1,0,0,2.089508493,56.39124357,-54,6,492
1992,Colorado,1992COConsidine,19920602,Hill Research Consultants,9/27/92,375,41,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-37,5,153
1992,Kansas,1992KSO'Dell,19921602,Kansas City Star,9/21/92,835,24,31.02897873,1992,0,1,0,-2.827776264,56.39124357,-43,6,200
1992,Missouri,1992MOBond,19922502,Kansas City Star,10/12/92,800,48,51.88704523,1992,1,0,1,1.90181394,56.39124357,-22,4,384
1992,North Carolina,1992NCFaircloth,19923302,Mason-Dixon Polling & Research Inc.,10/9/92,813,34,50.34704726,1992,1,0,0,-4.257897135,56.39124357,-25,4,276
1992,Ohio,1992OHDeWine,19923502,Tarrance Group,6/14/92,800,46,42.22424185,1992,1,0,1,-1.573305433,56.39124357,-142,9,368
1992,Ohio,1992OHGlenn,19923502,University of Akron,9/8/92,669,58,50.88300143,1992,0,1,1,-1.573305433,56.39124357,-56,6,388
1992,Arizona,1992AZSargent,19920302,Behavior Research Center (Rocky Mountain),10/3/92,575,25,31.57054262,1992,0,1,0,-6.847567198,56.39124357,-31,5,143
1992,North Dakota,1992NDSydness,19923402,University of North Dakota,4/6/92,474,33,38.87457765,1992,1,0,0,-2.697757213,56.39124357,-211,10,156
1992,Pennsylvania,1992PASpecter,19923802,Mason-Dixon Polling & Research Inc.,9/17/92,818,54,49.10295039,1992,1,0,1,2.732595359,56.39124357,-47,6,441
1992,North Dakota,1992NDSydness,19923402,Precision Marketing,9/25/92,558,22,38.87457765,1992,1,0,0,-2.697757213,56.39124357,-39,5,122
