cycle,state,Candidateidentifier,RaceID,pollster,startdate,samplesize,Poll,Percentage.of.Vote.won.x,year,Republican,Democrat,experienced,pvi,GenericBallotSept,daysLeft,poll_period,numberSupport
2018,Missouri,2018MOMcCaskill,20182500,YouGov,9/10/18,917,45,,2018,0,1,1,-6.881433406,55.1,-57,,
2018,Montana,2018MTTester,20182600,YouGov,9/10/18,453,47,,2018,0,1,1,-8.652566712,55.1,-57,,
2018,New Mexico,2018NMHeinrich,20183100,Research & Polling Inc.,9/7/18,966,47,,2018,0,1,1,2.403798731,55.1,-60,,
2018,Missouri,2018MOHawley,20182500,YouGov,9/10/18,917,45,,2018,1,0,1,-6.881433406,55.1,-57,,
2018,Montana,2018MTRosendale,20182600,YouGov,9/10/18,453,45,,2018,1,0,1,-8.652566712,55.1,-57,,
2018,New Mexico,2018NMRich,20183100,Research & Polling Inc.,9/7/18,966,26,,2018,1,0,0,2.403798731,55.1,-60,,
2018,New Mexico,2018NMJohnson,20183100,Research & Polling Inc.,9/7/18,966,16,,2018,0,0,1,2.403798731,55.1,-60,,
2018,Florida,2018FLNelson,20180900,Rasmussen Reports/Pulse Opinion Research,9/10/18,800,45,,2018,0,1,1,-1.790610365,55.1,-57,,
2018,Florida,2018FLScott,20180900,Rasmussen Reports/Pulse Opinion Research,9/10/18,800,44,,2018,1,0,1,-1.790610365,55.1,-57,,
2018,Arizona,2018AZMcSally,20180300,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,710,44,,2018,1,0,1,-4.106799945,55.1,-59,,
2018,Arizona,2018AZSinema,20180300,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,710,47,,2018,0,1,1,-4.106799945,55.1,-59,,
2018,Indiana,2018INBraun,20181400,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,677,45,,2018,1,0,1,-8.112056678,55.1,-59,,
2018,Indiana,2018INDonnelly,20181400,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,677,43,,2018,0,1,1,-8.112056678,55.1,-59,,
2018,Missouri,2018MOHawley,20182500,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,675,43,,2018,1,0,1,-6.881433406,55.1,-59,,
2018,Missouri,2018MOMcCaskill,20182500,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,675,44.5,,2018,0,1,1,-6.881433406,55.1,-59,,
2018,North Dakota,2018NDCramer,20183400,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,701,48,,2018,1,0,1,-15.10961444,55.1,-59,,
2018,North Dakota,2018NDHeitkamp,20183400,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,701,44,,2018,0,1,1,-15.10961444,55.1,-59,,
2018,Tennessee,2018TNBlackburn,20184200,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,686,47,,2018,1,0,1,-14.12184488,55.1,-59,,
2018,Tennessee,2018TNBredesen,20184200,Fox News/Anderson Robbins Research/Shaw & Co. Research,9/8/18,686,44,,2018,0,1,1,-14.12184488,55.1,-59,,
2018,Michigan,2018MIJames,20182200,Strategic National,9/8/18,1000,35,,2018,1,0,0,0.110617903,55.1,-59,,
2018,Michigan,2018MIStabenow,20182200,Strategic National,9/8/18,1000,53,,2018,0,1,1,0.110617903,55.1,-59,,
2018,Florida,2018FLNelson,20180900,SurveyUSA,9/7/18,634,44,,2018,0,1,1,-1.790610365,55.1,-60,,
2018,Florida,2018FLScott,20180900,SurveyUSA,9/7/18,634,46,,2018,1,0,1,-1.790610365,55.1,-60,,
2018,Minnesota,2018MNHousley,20182302,SurveyUSA,9/6/18,574,39,,2018,1,0,1,1.11430914,55.1,-61,,
2018,Minnesota,2018MNKlobuchar,20182300,SurveyUSA,9/6/18,574,53,,2018,0,1,1,1.11430914,55.1,-61,,
2018,Minnesota,2018MNNewberger,20182300,SurveyUSA,9/6/18,574,38,,2018,1,0,1,1.11430914,55.1,-61,,
2018,Minnesota,2018MNSmith,20182302,SurveyUSA,9/6/18,574,48,,2018,0,1,1,1.11430914,55.1,-61,,
2018,Texas,2018TXCruz,20184300,Dixie Strategies,9/6/18,519,45.87,,2018,1,0,1,-7.023984994,55.1,-61,,
2018,Texas,2018TXCruz,20184300,Rasmussen Reports/Pulse Opinion Research,9/6/18,800,47,,2018,1,0,1,-7.023984994,55.1,-61,,
2018,Texas,2018TXO'Rourke,20184300,Dixie Strategies,9/6/18,519,41.74,,2018,0,1,1,-7.023984994,55.1,-61,,
2018,Texas,2018TXO'Rourke,20184300,Rasmussen Reports/Pulse Opinion Research,9/6/18,800,44,,2018,0,1,1,-7.023984994,55.1,-61,,
2018,Arizona,2018AZMcSally,20180300,Gravis Marketing,9/5/18,882,49,,2018,1,0,1,-4.106799945,55.1,-62,,
2018,Arizona,2018AZMcSally,20180300,OH Predictive Insights/MBQF,9/5/18,597,48.6,,2018,1,0,1,-4.106799945,55.1,-62,,
2018,Arizona,2018AZSinema,20180300,Gravis Marketing,9/5/18,882,48,,2018,0,1,1,-4.106799945,55.1,-62,,
2018,Arizona,2018AZSinema,20180300,OH Predictive Insights/MBQF,9/5/18,597,45.5,,2018,0,1,1,-4.106799945,55.1,-62,,
2018,Michigan,2018MIJames,20182200,Glengariff Group Inc.,9/5/18,600,32.6,,2018,1,0,0,0.110617903,55.1,-62,,
2018,Michigan,2018MIStabenow,20182200,Glengariff Group Inc.,9/5/18,600,55.5,,2018,0,1,1,0.110617903,55.1,-62,,
2018,Nevada,2018NVHeller,20182800,Suffolk University,9/5/18,500,41,,2018,1,0,1,0.039999588,55.1,-62,,
2018,Nevada,2018NVRosen,20182800,Suffolk University,9/5/18,500,42,,2018,0,1,1,0.039999588,55.1,-62,,
2018,Arizona,2018AZMcSally,20180300,Data Orbital,9/4/18,550,41.8,,2018,1,0,1,-4.106799945,55.1,-63,,
2018,Arizona,2018AZSinema,20180300,Data Orbital,9/4/18,550,46.1,,2018,0,1,1,-4.106799945,55.1,-63,,
2018,Ohio,2018OHBrown,20183500,Morning Consult,9/2/18,1592,47,,2018,0,1,1,-4.171365879,55.1,-65,,
2018,Ohio,2018OHRenacci,20183500,Morning Consult,9/2/18,1592,31,,2018,1,0,1,-4.171365879,55.1,-65,,
2018,Florida,2018FLNelson,20180900,Quinnipiac University,8/30/18,785,49,,2018,0,1,1,-1.790610365,55.1,-68,,
2018,Florida,2018FLScott,20180900,Quinnipiac University,8/30/18,785,49,,2018,1,0,1,-1.790610365,55.1,-68,,
2018,California,2018CAde Leon,20180500,Probolsky Research,8/29/18,900,29.2,,2018,1,0,1,10.76322564,55.1,-69,,
2018,California,2018CAFeinstein,20180500,Probolsky Research,8/29/18,900,37.3,,2018,0,1,1,10.76322564,55.1,-69,,
2018,Florida,2018FLNelson,20180900,Gravis Marketing,8/29/18,1225,47,,2018,0,1,1,-1.790610365,55.1,-69,,
2018,Florida,2018FLNelson,20180900,Public Policy Polling,8/29/18,743,46,,2018,0,1,1,-1.790610365,55.1,-69,,
2018,Florida,2018FLNelson,20180900,St. Pete Polls,8/29/18,1755,47.4,,2018,0,1,1,-1.790610365,55.1,-69,,
2018,Florida,2018FLScott,20180900,Gravis Marketing,8/29/18,1225,47,,2018,1,0,1,-1.790610365,55.1,-69,,
2018,Florida,2018FLScott,20180900,Public Policy Polling,8/29/18,743,45,,2018,1,0,1,-1.790610365,55.1,-69,,
2018,Florida,2018FLScott,20180900,St. Pete Polls,8/29/18,1755,47.3,,2018,1,0,1,-1.790610365,55.1,-69,,
2018,Indiana,2018INBraun,20181400,Marist College,8/26/18,576,42,,2018,1,0,1,-8.112056678,55.1,-72,,
2018,Indiana,2018INDonnelly,20181400,Marist College,8/26/18,576,46.5,,2018,0,1,1,-8.112056678,55.1,-72,,
2018,Missouri,2018MOHawley,20182500,Marist College,8/25/18,568,43.5,,2018,1,0,1,-6.881433406,55.1,-73,,
2018,Missouri,2018MOMcCaskill,20182500,Marist College,8/25/18,568,45.5,,2018,0,1,1,-6.881433406,55.1,-73,,
2018,Tennessee,2018TNBlackburn,20184200,Marist College,8/25/18,538,46,,2018,1,0,1,-14.12184488,55.1,-73,,
2018,Tennessee,2018TNBredesen,20184200,Marist College,8/25/18,538,48,,2018,0,1,1,-14.12184488,55.1,-73,,
2018,Connecticut,2018CTCorey,20180700,Gravis Marketing,8/24/18,606,37,,2018,1,0,0,4.933092737,55.1,-74,,
2018,Connecticut,2018CTMurphy,20180700,Gravis Marketing,8/24/18,606,54,,2018,0,1,1,4.933092737,55.1,-74,,
2018,Texas,2018TXCruz,20184300,Emerson College,8/22/18,550,38,,2018,1,0,1,-7.023984994,55.1,-76,,
2018,Texas,2018TXO'Rourke,20184300,Emerson College,8/22/18,550,37,,2018,0,1,1,-7.023984994,55.1,-76,,
2018,Utah,2018UTRomney,20184400,Dan Jones & Associates,8/22/18,809,55,,2018,1,0,1,-16.22280025,55.1,-76,,
2018,Utah,2018UTWilson,20184400,Dan Jones & Associates,8/22/18,809,29,,2018,0,1,1,-16.22280025,55.1,-76,,
2018,Virginia,2018VAKaine,20184600,Cygnal,8/22/18,1119,50.2,,2018,0,1,1,0.727101238,55.1,-76,,
2018,Virginia,2018VAStewart,20184600,Cygnal,8/22/18,1119,45.7,,2018,1,0,1,0.727101238,55.1,-76,,
2018,Pennsylvania,2018PABarletta,20183800,Franklin & Marshall College,8/20/18,222,34,,2018,1,0,1,0.390350973,55.1,-78,,
2018,Pennsylvania,2018PACasey,20183800,Franklin & Marshall College,8/20/18,222,47,,2018,0,1,1,0.390350973,55.1,-78,,
2018,Wisconsin,2018WIBaldwin,20184900,Suffolk University,8/18/18,500,49.8,,2018,0,1,1,-1.482069759,55.1,-80,,
2018,Wisconsin,2018WIVukmir,20184900,Suffolk University,8/18/18,500,42.2,,2018,1,0,1,-1.482069759,55.1,-80,,
2018,Minnesota,2018MNHousley,20182302,Suffolk University,8/17/18,500,37,,2018,1,0,1,1.11430914,55.1,-81,,
2018,Minnesota,2018MNKlobuchar,20182300,Suffolk University,8/17/18,500,54,,2018,0,1,1,1.11430914,55.1,-81,,
2018,Minnesota,2018MNNewberger,20182300,Suffolk University,8/17/18,500,34,,2018,1,0,1,1.11430914,55.1,-81,,
2018,Minnesota,2018MNSmith,20182302,Suffolk University,8/17/18,500,44,,2018,0,1,1,1.11430914,55.1,-81,,
2018,New Mexico,2018NMHeinrich,20183100,Emerson College,8/17/18,500,39,,2018,0,1,1,2.403798731,55.1,-81,,
2018,New Mexico,2018NMJohnson,20183100,Emerson College,8/17/18,500,21,,2018,0,0,1,2.403798731,55.1,-81,,
2018,New Mexico,2018NMRich,20183100,Emerson College,8/17/18,500,11,,2018,1,0,0,2.403798731,55.1,-81,,
2018,Connecticut,2018CTCorey,20180700,Quinnipiac University,8/16/18,1029,31,,2018,1,0,0,4.933092737,55.1,-82,,
2018,Connecticut,2018CTMurphy,20180700,Quinnipiac University,8/16/18,1029,59,,2018,0,1,1,4.933092737,55.1,-82,,
2018,Florida,2018FLNelson,20180900,Florida Atlantic University,8/16/18,800,39,,2018,0,1,1,-1.790610365,55.1,-82,,
2018,Florida,2018FLScott,20180900,Florida Atlantic University,8/16/18,800,45,,2018,1,0,1,-1.790610365,55.1,-82,,
2018,West Virginia,2018WVManchin,20184800,Research America Inc.,8/16/18,404,46,,2018,0,1,1,-13.38955503,55.1,-82,,
2018,West Virginia,2018WVMorrisey,20184800,Research America Inc.,8/16/18,404,38,,2018,1,0,1,-13.38955503,55.1,-82,,
2018,Wisconsin,2018WIBaldwin,20184900,Marquette University Law School,8/15/18,601,49,,2018,0,1,1,-1.482069759,55.1,-83,,
2018,Wisconsin,2018WIVukmir,20184900,Marquette University Law School,8/15/18,601,47,,2018,1,0,1,-1.482069759,55.1,-83,,
2018,New Jersey,2018NJHugin,20183000,Quinnipiac University,8/15/18,908,37,,2018,1,0,0,5.440680607,55.1,-83,,
2018,New Jersey,2018NJMenendez,20183000,Quinnipiac University,8/15/18,908,43,,2018,0,1,1,5.440680607,55.1,-83,,
2018,Michigan,2018MIJames,20182200,Gravis Marketing,8/14/18,647,35,,2018,1,0,0,0.110617903,55.1,-84,,
2018,Michigan,2018MIStabenow,20182200,Gravis Marketing,8/14/18,647,51,,2018,0,1,1,0.110617903,55.1,-84,,
2018,New Jersey,2018NJHugin,20183000,Gravis Marketing,8/14/18,753,30,,2018,1,0,0,5.440680607,55.1,-84,,
2018,New Jersey,2018NJMenendez,20183000,Gravis Marketing,8/14/18,753,40,,2018,0,1,1,5.440680607,55.1,-84,,
2018,Michigan,2018MIJames,20182200,Strategic National,8/13/18,700,35,,2018,1,0,0,0.110617903,55.1,-85,,
2018,Michigan,2018MIStabenow,20182200,Strategic National,8/13/18,700,50,,2018,0,1,1,0.110617903,55.1,-85,,
2018,Pennsylvania,2018PABarletta,20183800,Marist College,8/12/18,713,38,,2018,1,0,1,0.390350973,55.1,-86,,
2018,Pennsylvania,2018PACasey,20183800,Marist College,8/12/18,713,53,,2018,0,1,1,0.390350973,55.1,-86,,
2018,Texas,2018TXCruz,20184300,Marist College,8/12/18,759,49,,2018,1,0,1,-7.023984994,55.1,-86,,
2018,Texas,2018TXO'Rourke,20184300,Marist College,8/12/18,759,45,,2018,0,1,1,-7.023984994,55.1,-86,,
2018,Virginia,2018VAKaine,20184600,Roanoke College,8/12/18,512,51,,2018,0,1,1,0.727101238,55.1,-86,,
2018,Virginia,2018VAStewart,20184600,Roanoke College,8/12/18,512,34,,2018,1,0,1,0.727101238,55.1,-86,,
2018,Utah,2018UTRomney,20184400,Lighthouse Research,8/11/18,2400,58.6,,2018,1,0,1,-16.22280025,55.1,-87,,
2018,Utah,2018UTWilson,20184400,Lighthouse Research,8/11/18,2400,18.6,,2018,0,1,1,-16.22280025,55.1,-87,,
2018,Florida,2018FLNelson,20180900,Saint Leo University,8/10/18,500,35.8,,2018,0,1,1,-1.790610365,55.1,-88,,
2018,Florida,2018FLScott,20180900,Saint Leo University,8/10/18,500,40.4,,2018,1,0,1,-1.790610365,55.1,-88,,
2018,Tennessee,2018TNBlackburn,20184200,Gravis Marketing,8/9/18,620,48,,2018,1,0,1,-14.12184488,55.1,-89,,
2018,Tennessee,2018TNBredesen,20184200,Gravis Marketing,8/9/18,620,44,,2018,0,1,1,-14.12184488,55.1,-89,,
2018,Minnesota,2018MNHousley,20182302,Emerson College,8/8/18,500,28,,2018,1,0,1,1.11430914,55.1,-90,,
2018,Minnesota,2018MNKlobuchar,20182300,Emerson College,8/8/18,500,50,,2018,0,1,1,1.11430914,55.1,-90,,
2018,Minnesota,2018MNNewberger,20182300,Emerson College,8/8/18,500,26,,2018,1,0,1,1.11430914,55.1,-90,,
2018,Minnesota,2018MNSmith,20182302,Emerson College,8/8/18,500,32,,2018,0,1,1,1.11430914,55.1,-90,,
2018,Missouri,2018MOHawley,20182500,Remington Research Group,8/8/18,1785,47,,2018,1,0,1,-6.881433406,55.1,-90,,
2018,Missouri,2018MOMcCaskill,20182500,Remington Research Group,8/8/18,1785,47,,2018,0,1,1,-6.881433406,55.1,-90,,
