"","Candidateidentifier","cycle","state","RaceID","pollster","startdate","samplesize","Poll","Percentage.of.Vote.won.x","year","Republican","Democrat","experienced","pvi","GenericBallotSept","daysLeft","poll_period","numberSupport","Incumbent","weightexperience","PercentageRaised","win"
"1","1992AKMurkowski",1992,"Alaska",19920202,"Mason-Dixon Polling & Research Inc.","9/19/92",626,48,53.04779863,1992,1,0,1,-8.265369492,56.39124357,-45,6,300,1,4,58.171428,1
"2","1992AKMurkowski",1992,"Alaska",19920202,"Cromer Group","9/30/92",500,49,53.04779863,1992,1,0,1,-8.265369492,56.39124357,-34,5,245,1,4,58.171428,1
"3","1992AKSmith",1992,"Alaska",19920202,"Cromer Group","9/30/92",500,34,38.40618404,1992,0,1,0,-8.265369492,56.39124357,-34,5,170,-1,1,41.828572,0
"4","1992AKSmith",1992,"Alaska",19920202,"Mason-Dixon Polling & Research Inc.","9/19/92",626,32,38.40618404,1992,0,1,0,-8.265369492,56.39124357,-45,6,200,-1,1,41.828572,0
"5","1992ALSellers",1992,"Alabama",19920102,"Mason-Dixon Polling & Research Inc.","9/22/92",829,18,33.08501273,1992,1,0,0,-5.851368454,56.39124357,-42,5,149,-1,1,2.0508904,0
"6","1992ALSellers",1992,"Alabama",19920102,"Mason-Dixon Polling & Research Inc.","5/23/92",822,17,33.08501273,1992,1,0,0,-5.851368454,56.39124357,-164,9,139,-1,1,2.0508904,0
"7","1992ALSellers",1992,"Alabama",19920102,"Birmingham Post-Herald","10/12/92",571,18,33.08501273,1992,1,0,0,-5.851368454,56.39124357,-22,4,102,-1,1,2.0508904,0
"8","1992ALSellers",1992,"Alabama",19920102,"Mason-Dixon Polling & Research Inc.","8/3/92",813,16,33.08501273,1992,1,0,0,-5.851368454,56.39124357,-92,8,130,-1,1,2.0508904,0
"9","1992ALShelby",1992,"Alabama",19920102,"Mason-Dixon Polling & Research Inc.","9/22/92",829,62,64.81801548,1992,0,1,1,-5.851368454,56.39124357,-42,5,513,1,4,97.9491096,1
"10","1992ALShelby",1992,"Alabama",19920102,"Birmingham Post-Herald","10/12/92",571,69,64.81801548,1992,0,1,1,-5.851368454,56.39124357,-22,4,393,1,4,97.9491096,1
"11","1992ALShelby",1992,"Alabama",19920102,"Mason-Dixon Polling & Research Inc.","8/3/92",813,62,64.81801548,1992,0,1,1,-5.851368454,56.39124357,-92,8,504,1,4,97.9491096,1
"12","1992ALShelby",1992,"Alabama",19920102,"Mason-Dixon Polling & Research Inc.","5/23/92",822,61,64.81801548,1992,0,1,1,-5.851368454,56.39124357,-164,9,501,1,4,97.9491096,1
"13","1992ARBumpers",1992,"Arkansas",19920402,"Mason-Dixon Polling & Research Inc.","9/3/92",802,61,60.17719411,1992,0,1,1,-3.295385279,56.39124357,-61,7,489,1,4,58.05829004,1
"14","1992ARBumpers",1992,"Arkansas",19920402,"Mason-Dixon Polling & Research Inc.","5/18/92",826,64,60.17719411,1992,0,1,1,-3.295385279,56.39124357,-169,9,528,1,4,58.05829004,1
"15","1992ARHuckabee",1992,"Arkansas",19920402,"Mason-Dixon Polling & Research Inc.","5/18/92",826,29,39.82280589,1992,1,0,0,-3.295385279,56.39124357,-169,9,239,-1,1,41.94170996,0
"16","1992ARHuckabee",1992,"Arkansas",19920402,"Mason-Dixon Polling & Research Inc.","9/3/92",802,29,39.82280589,1992,1,0,0,-3.295385279,56.39124357,-61,7,232,-1,1,41.94170996,0
"17","1992CABoxer",1992,"California",19920502,"Greenberg Quinlan Rosner (Democracy Corps)","10/29/92",700,51,47.90378958,1992,0,1,1,2.089508493,56.39124357,-5,1,357,0,3,56.39478386,0
"18","1992CABoxer",1992,"California",19920502,"KCAL-TV","10/27/92",700,44,47.90378958,1992,0,1,1,2.089508493,56.39124357,-7,1,308,0,3,56.39478386,0
"19","1992CABoxer",1992,"California",19920502,"Mason-Dixon Polling & Research Inc.","9/3/92",819,49,47.90378958,1992,0,1,1,2.089508493,56.39124357,-61,7,401,0,3,56.39478386,0
"20","1992CABoxer",1992,"California",19920502,"Boxer","10/27/92",801,43,47.90378958,1992,0,1,1,2.089508493,56.39124357,-7,1,344,0,3,56.39478386,0
"21","1992CABoxer",1992,"California",19920502,"Field Research Corp. (Field Poll)","1/13/92",475,38,47.90378958,1992,0,1,1,2.089508493,56.39124357,-295,10,180,0,3,56.39478386,0
"22","1992CABoxer",1992,"California",19920502,"Field Research Corp. (Field Poll)","10/25/92",1106,44,47.90378958,1992,0,1,1,2.089508493,56.39124357,-9,2,486,0,3,56.39478386,0
"23","1992CABoxer",1992,"California",19920502,"Los Angeles Times","9/10/92",1330,52,47.90378958,1992,0,1,1,2.089508493,56.39124357,-54,6,691,0,3,56.39478386,0
"24","1992CABoxer",1992,"California",19920502,"Field Research Corp. (Field Poll)","9/8/92",624,55,47.90378958,1992,0,1,1,2.089508493,56.39124357,-56,6,343,0,3,56.39478386,0
"25","1992CABoxer",1992,"California",19920502,"Mason-Dixon Polling & Research Inc.","7/8/92",837,51,47.90378958,1992,0,1,1,2.089508493,56.39124357,-118,8,426,0,3,56.39478386,0
"26","1992CAFeinstein",1992,"California",19920500,"Mason-Dixon Polling & Research Inc.","9/3/92",819,51,54.28721616,1992,0,1,1,2.089508493,56.39124357,-61,7,417,0,3,55.70670633,1
"27","1992CAFeinstein",1992,"California",19920500,"Los Angeles Times","9/10/92",1330,53,54.28721616,1992,0,1,1,2.089508493,56.39124357,-54,6,704,0,3,55.70670633,1
"28","1992CAFeinstein",1992,"California",19920500,"Field Research Corp. (Field Poll)","1/13/92",475,50,54.28721616,1992,0,1,1,2.089508493,56.39124357,-295,10,237,0,3,55.70670633,1
"29","1992CAFeinstein",1992,"California",19920500,"Field Research Corp. (Field Poll)","9/8/92",624,57,54.28721616,1992,0,1,1,2.089508493,56.39124357,-56,6,355,0,3,55.70670633,1
"30","1992CAFeinstein",1992,"California",19920500,"Mason-Dixon Polling & Research Inc.","7/8/92",837,54,54.28721616,1992,0,1,1,2.089508493,56.39124357,-118,8,451,0,3,55.70670633,1
"31","1992CAHerschensohn",1992,"California",19920502,"KCAL-TV","10/27/92",700,40,43.00286776,1992,1,0,0,2.089508493,56.39124357,-7,1,280,0,1,43.60521614,0
"32","1992CAHerschensohn",1992,"California",19920502,"Mason-Dixon Polling & Research Inc.","9/3/92",819,35,43.00286776,1992,1,0,0,2.089508493,56.39124357,-61,7,286,0,1,43.60521614,0
"33","1992CAHerschensohn",1992,"California",19920502,"Greenberg Quinlan Rosner (Democracy Corps)","10/29/92",700,41,43.00286776,1992,1,0,0,2.089508493,56.39124357,-5,1,287,0,1,43.60521614,0
"34","1992CAHerschensohn",1992,"California",19920502,"Mason-Dixon Polling & Research Inc.","7/8/92",837,33,43.00286776,1992,1,0,0,2.089508493,56.39124357,-118,8,276,0,1,43.60521614,0
"35","1992CAHerschensohn",1992,"California",19920502,"Field Research Corp. (Field Poll)","10/25/92",1106,43,43.00286776,1992,1,0,0,2.089508493,56.39124357,-9,2,475,0,1,43.60521614,0
"36","1992CAHerschensohn",1992,"California",19920502,"Field Research Corp. (Field Poll)","1/13/92",475,35,43.00286776,1992,1,0,0,2.089508493,56.39124357,-295,10,166,0,1,43.60521614,0
"37","1992CAHerschensohn",1992,"California",19920502,"Los Angeles Times","9/10/92",1330,33,43.00286776,1992,1,0,0,2.089508493,56.39124357,-54,6,438,0,1,43.60521614,0
"38","1992CAHerschensohn",1992,"California",19920502,"Field Research Corp. (Field Poll)","9/8/92",624,33,43.00286776,1992,1,0,0,2.089508493,56.39124357,-56,6,205,0,1,43.60521614,0
"39","1992CAHerschensohn",1992,"California",19920502,"Boxer","10/27/92",801,35,43.00286776,1992,1,0,0,2.089508493,56.39124357,-7,1,280,0,1,43.60521614,0
"40","1992CASeymour",1992,"California",19920500,"Field Research Corp. (Field Poll)","1/13/92",475,38,37.96344771,1992,1,0,0,2.089508493,56.39124357,-295,10,180,0,1,44.29329367,0
"41","1992CASeymour",1992,"California",19920500,"Field Research Corp. (Field Poll)","9/8/92",624,37,37.96344771,1992,1,0,0,2.089508493,56.39124357,-56,6,230,0,1,44.29329367,0
"42","1992CASeymour",1992,"California",19920500,"Mason-Dixon Polling & Research Inc.","9/3/92",819,37,37.96344771,1992,1,0,0,2.089508493,56.39124357,-61,7,303,0,1,44.29329367,0
"43","1992CASeymour",1992,"California",19920500,"Los Angeles Times","9/10/92",1330,37,37.96344771,1992,1,0,0,2.089508493,56.39124357,-54,6,492,0,1,44.29329367,0
"44","1992CASeymour",1992,"California",19920500,"Mason-Dixon Polling & Research Inc.","7/8/92",837,36,37.96344771,1992,1,0,0,2.089508493,56.39124357,-118,8,301,0,1,44.29329367,0
"45","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/22/92",400,48,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-12,2,192,0,3,38.07076331,1
"46","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","5/26/92",496,51,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-161,9,252,0,3,38.07076331,1
"47","1992COCampbell",1992,"Colorado",19920602,"Mason-Dixon Polling & Research Inc.","7/30/92",829,44,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-96,8,364,0,3,38.07076331,1
"48","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/20/92",400,44,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-14,3,176,0,3,38.07076331,1
"49","1992COCampbell",1992,"Colorado",19920602,"Mason-Dixon Polling & Research Inc.","9/18/92",813,50,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-46,6,406,0,3,38.07076331,1
"50","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","8/21/92",520,54,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-74,7,280,0,3,38.07076331,1
"51","1992COCampbell",1992,"Colorado",19920602,"Ciruli Associates","9/14/92",451,50,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-50,6,225,0,3,38.07076331,1
"52","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","4/24/92",504,48,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-193,9,241,0,3,38.07076331,1
"53","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/23/92",400,49,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-11,2,196,0,3,38.07076331,1
"54","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","7/20/92",501,55,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-106,8,275,0,3,38.07076331,1
"55","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/21/92",400,46,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-13,3,184,0,3,38.07076331,1
"56","1992COCampbell",1992,"Colorado",19920602,"Ciruli Associates","10/22/92",400,46,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-12,2,184,0,3,38.07076331,1
"57","1992COCampbell",1992,"Colorado",19920602,"Hill Research Consultants","9/27/92",375,47,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-37,5,176,0,3,38.07076331,1
"58","1992COCampbell",1992,"Colorado",19920602,"Ciruli Associates","8/3/92",565,56,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-92,8,316,0,3,38.07076331,1
"59","1992COCampbell",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","9/14/92",400,51,51.77676322,1992,0,1,1,-0.057461639,56.39124357,-50,6,204,0,3,38.07076331,1
"60","1992COConsidine",1992,"Colorado",19920602,"Ciruli Associates","9/14/92",451,39,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-50,6,175,0,1,61.92923669,0
"61","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","9/14/92",400,35,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-50,6,140,0,1,61.92923669,0
"62","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","7/20/92",501,26,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-106,8,130,0,1,61.92923669,0
"63","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","5/26/92",496,30,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-161,9,148,0,1,61.92923669,0
"64","1992COConsidine",1992,"Colorado",19920602,"Mason-Dixon Polling & Research Inc.","9/18/92",813,43,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-46,6,349,0,1,61.92923669,0
"65","1992COConsidine",1992,"Colorado",19920602,"Mason-Dixon Polling & Research Inc.","7/30/92",829,35,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-96,8,290,0,1,61.92923669,0
"66","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","4/24/92",504,26,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-193,9,131,0,1,61.92923669,0
"67","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","8/21/92",520,33,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-74,7,171,0,1,61.92923669,0
"68","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/22/92",400,44,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-12,2,176,0,1,61.92923669,0
"69","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/20/92",400,44,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-14,3,176,0,1,61.92923669,0
"70","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/21/92",400,45,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-13,3,180,0,1,61.92923669,0
"71","1992COConsidine",1992,"Colorado",19920602,"Talmey-Drake Research & Strategy Inc.","10/23/92",400,42,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-11,2,168,0,1,61.92923669,0
"72","1992COConsidine",1992,"Colorado",19920602,"Hill Research Consultants","9/27/92",375,41,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-37,5,153,0,1,61.92923669,0
"73","1992COConsidine",1992,"Colorado",19920602,"Ciruli Associates","8/3/92",565,24,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-92,8,135,0,1,61.92923669,0
"74","1992COConsidine",1992,"Colorado",19920602,"Ciruli Associates","10/22/92",400,40,42.70422582,1992,1,0,0,-0.057461639,56.39124357,-12,2,160,0,1,61.92923669,0
"75","1992CTDodd",1992,"Connecticut",19920702,"University of Connecticut","11/12/91",500,35,58.81013574,1992,0,1,1,1.313478054,56.39124357,-357,10,175,1,4,84.54927681,1
"76","1992CTDodd",1992,"Connecticut",19920702,"University of Connecticut","6/25/92",500,52,58.81013574,1992,0,1,1,1.313478054,56.39124357,-131,8,260,1,4,84.54927681,1
"77","1992CTDodd",1992,"Connecticut",19920702,"Quinnipiac University","10/12/92",612,49,58.81013574,1992,0,1,1,1.313478054,56.39124357,-22,4,299,1,4,84.54927681,1
"78","1992CTDodd",1992,"Connecticut",19920702,"Quinnipiac University","8/26/92",667,59,58.81013574,1992,0,1,1,1.313478054,56.39124357,-69,7,393,1,4,84.54927681,1
"79","1992CTDodd",1992,"Connecticut",19920702,"Quinnipiac University","8/3/92",616,63,58.81013574,1992,0,1,1,1.313478054,56.39124357,-92,8,388,1,4,84.54927681,1
"80","1992CTDodd",1992,"Connecticut",19920702,"Quinnipiac University","10/20/92",630,52,58.81013574,1992,0,1,1,1.313478054,56.39124357,-14,3,327,1,4,84.54927681,1
"81","1992CTDodd",1992,"Connecticut",19920702,"University of Connecticut","9/29/92",519,51,58.81013574,1992,0,1,1,1.313478054,56.39124357,-35,5,264,1,4,84.54927681,1
"82","1992CTDodd",1992,"Connecticut",19920702,"Quinnipiac University","9/21/92",596,56,58.81013574,1992,0,1,1,1.313478054,56.39124357,-43,6,333,1,4,84.54927681,1
"83","1992CTJohnson",1992,"Connecticut",19920702,"University of Connecticut","9/29/92",519,31,38.11771636,1992,1,0,0,1.313478054,56.39124357,-35,5,160,-1,1,15.45072319,0
"84","1992CTJohnson",1992,"Connecticut",19920702,"Quinnipiac University","10/20/92",630,33,38.11771636,1992,1,0,0,1.313478054,56.39124357,-14,3,207,-1,1,15.45072319,0
"85","1992CTJohnson",1992,"Connecticut",19920702,"Quinnipiac University","8/3/92",616,19,38.11771636,1992,1,0,0,1.313478054,56.39124357,-92,8,117,-1,1,15.45072319,0
"86","1992CTJohnson",1992,"Connecticut",19920702,"University of Connecticut","11/12/91",500,32,38.11771636,1992,1,0,0,1.313478054,56.39124357,-357,10,160,-1,1,15.45072319,0
"87","1992CTJohnson",1992,"Connecticut",19920702,"University of Connecticut","6/25/92",500,12,38.11771636,1992,1,0,0,1.313478054,56.39124357,-131,8,60,-1,1,15.45072319,0
"88","1992CTJohnson",1992,"Connecticut",19920702,"Quinnipiac University","10/12/92",612,31,38.11771636,1992,1,0,0,1.313478054,56.39124357,-22,4,189,-1,1,15.45072319,0
"89","1992CTJohnson",1992,"Connecticut",19920702,"Quinnipiac University","8/26/92",667,19,38.11771636,1992,1,0,0,1.313478054,56.39124357,-69,7,126,-1,1,15.45072319,0
"90","1992CTJohnson",1992,"Connecticut",19920702,"Quinnipiac University","9/21/92",596,27,38.11771636,1992,1,0,0,1.313478054,56.39124357,-43,6,160,-1,1,15.45072319,0
"91","1992FLGraham",1992,"Florida",19920902,"Mason-Dixon Polling & Research Inc.","9/10/92",804,55,65.40458135,1992,0,1,1,-7.351546057,56.39124357,-54,6,442,1,4,91.07218626,1
"92","1992FLGraham",1992,"Florida",19920902,"Mason-Dixon Polling & Research Inc.","12/5/91",813,66,65.40458135,1992,0,1,1,-7.351546057,56.39124357,-334,10,536,1,4,91.07218626,1
"93","1992FLGraham",1992,"Florida",19920902,"Mason-Dixon Polling & Research Inc.","5/29/92",826,54,65.40458135,1992,0,1,1,-7.351546057,56.39124357,-158,9,446,1,4,91.07218626,1
"94","1992FLGrant",1992,"Florida",19920902,"Mason-Dixon Polling & Research Inc.","5/29/92",826,25,34.59098521,1992,1,0,0,-7.351546057,56.39124357,-158,9,206,-1,1,8.927813745,0
"95","1992FLGrant",1992,"Florida",19920902,"Mason-Dixon Polling & Research Inc.","9/10/92",804,25,34.59098521,1992,1,0,0,-7.351546057,56.39124357,-54,6,201,-1,1,8.927813745,0
"96","1992FLGrant",1992,"Florida",19920902,"Mason-Dixon Polling & Research Inc.","12/5/91",813,19,34.59098521,1992,1,0,0,-7.351546057,56.39124357,-334,10,154,-1,1,8.927813745,0
"97","1992GACoverdell",1992,"Georgia",19921002,"Atlanta Journal Constitution","10/6/92",567,32,50.64741294,1992,1,0,1,-6.303308952,56.39124357,-28,4,181,-1,2,49.5682366,1
"98","1992GACoverdell",1992,"Georgia",19921002,"Mason-Dixon Polling & Research Inc.","2/24/92",809,26,50.64741294,1992,1,0,1,-6.303308952,56.39124357,-253,10,210,-1,2,49.5682366,1
"99","1992GACoverdell",1992,"Georgia",19921002,"Mason-Dixon Polling & Research Inc.","7/9/92",820,27,50.64741294,1992,1,0,1,-6.303308952,56.39124357,-117,8,221,-1,2,49.5682366,1
